AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,AUM,Category,Risk
hdfc mutual fund,4,4,0.0075,29.97,0.0801,0.0583,100.0,100.0,Debt,Moderate
hdfc mutual fund,4,4,0.005699999999999999,14.29,0.0727,0.058499999999999996,100.0,100.0,Debt,LowtoModerate
hdfc mutual fund,4,3,0.005600000000000001,29.06,0.0774,0.059500000000000004,100.0,100.0,Hybrid,Low
hdfc mutual fund,3,3,0.0121,52.35,0.0915,0.055,100.0,100.0,Debt,Moderate
hdfc mutual fund,0,4,0.0325,17.15,0.2401,0.15560000000000002,100.0,100.0,Other,High
hdfc mutual fund,5,3,0.0304,68.22,0.23800000000000002,0.1331,100.0,100.0,Hybrid,High
hdfc mutual fund,1,5,0.030899999999999997,39.87,0.2186,0.1525,100.0,100.0,Other,High
hdfc mutual fund,4,3,0.018000000000000002,64.28,0.17190000000000003,0.1082,100.0,100.0,Hybrid,ModeratelyHigh
hdfc mutual fund,4,4,0.0072,21.56,0.0755,0.0552,100.0,100.0,Debt,Moderate
hdfc mutual fund,3,3,0.011699999999999999,85.12,0.0904,0.0521,100.0,100.0,Debt,Moderate
hdfc mutual fund,0,3,0.011699999999999999,85.12,0.0904,0.0521,100.0,100.0,Debt,Moderate
hdfc mutual fund,0,3,0.011699999999999999,85.12,0.0904,0.0521,100.0,100.0,Debt,Moderate
hdfc mutual fund,5,5,0.0187,510.83,0.3379,0.2375,100.0,100.0,Hybrid,Moderate
hdfc mutual fund,3,2,0.0053,3626.68,0.0668,0.0556,100.0,100.0,Debt,Low
hdfc mutual fund,3,0,0.0055000000000000005,28.19,0.0762,0.0572,5000.0,5000.0,Hybrid,Low
dsp mutual fund,0,0,0.0,10.09,0.0,0.0,100.0,100.0,Other,VeryHigh
dsp mutual fund,0,0,0.0832,22.85,0.29350000000000004,0.09699999999999999,100.0,100.0,Equity,VeryHigh
dsp mutual fund,0,0,0.0968,13.53,0.0,0.0,100.0,100.0,Other,VeryHigh
dsp mutual fund,0,4,0.0579,26.14,0.376,0.1938,100.0,100.0,Other,Low
dsp mutual fund,0,0,0.053200000000000004,15.49,0.3583,0.0,100.0,100.0,Other,VeryHigh
dsp mutual fund,0,0,0.0373,11.74,0.0,0.0,100.0,100.0,Other,High
dsp mutual fund,0,0,0.0414,10.59,0.0,0.0,100.0,100.0,Other,VeryHigh
dsp mutual fund,0,3,0.050499999999999996,24.28,0.2718,0.1427,100.0,100.0,Other,VeryHigh
dsp mutual fund,0,4,0.053399999999999996,29.09,0.6498999999999999,0.2095,100.0,100.0,Other,Low
aditya birla sun life mutual fund,0,0,0.060599999999999994,34.13,0.4943,0.1856,100.0,100.0,Equity,VeryHigh
aditya birla sun life mutual fund,0,0,0.045,15.59,0.3422,0.0,100.0,100.0,Equity,VeryHigh
aditya birla sun life mutual fund,0,2,0.071,1804.24,0.3675,0.1592,100.0,100.0,Equity,Moderate
aditya birla sun life mutual fund,2,2,0.0774,825.5,0.4557,0.2198,100.0,100.0,Equity,High
aditya birla sun life mutual fund,0,0,0.0753,25.0,0.42369999999999997,0.1728,100.0,100.0,Equity,High
pgim india mutual fund,1,1,0.0758,16.74,0.37549999999999994,0.168,1000.0,1000.0,Equity,VeryHigh
pgim india mutual fund,0,2,0.0667,36.8,0.294,0.1151,1000.0,1000.0,Equity,VeryHigh
icici prudential mutual fund,0,0,0.0495,18.45,0.5465,0.0,100.0,100.0,Equity,VeryHigh
nippon india mutual fund,0,4,0.0051,25.21,0.0755,0.059000000000000004,100.0,100.0,Hybrid,Low
nippon india mutual fund,4,4,0.0059,3905.17,0.076,0.06280000000000001,100.0,100.0,Debt,LowtoModerate
nippon india mutual fund,5,3,0.005699999999999999,6033.3,0.0731,0.0596,100.0,100.0,Debt,Moderate
nippon india mutual fund,4,3,0.005600000000000001,3523.72,0.0705,0.0564,100.0,100.0,Debt,LowtoModerate
nippon india mutual fund,4,3,0.0072,42.24,0.07730000000000001,0.0579,100.0,100.0,Debt,Moderate
nippon india mutual fund,0,4,0.0054,131.71,0.0672,0.0562,100.0,100.0,Debt,Low
nippon india mutual fund,0,0,0.0417,18.86,0.16260000000000002,0.0069,1000.0,1000.0,Equity,VeryHigh
nippon india mutual fund,0,0,0.0489,31.79,0.2255,0.0764,1000.0,1000.0,Equity,VeryHigh
nippon india mutual fund,4,0,0.0054,3350.61,0.0688,0.055099999999999996,500.0,500.0,Debt,LowtoModerate
nippon india mutual fund,0,0,0.0046,32.45,0.0669,0.056900000000000006,5000.0,5000.0,Debt,Low
nippon india mutual fund,0,0,0.0046,31.9,0.059500000000000004,0.0545,5000.0,5000.0,Debt,Low
nippon india mutual fund,0,0,0.0046,31.69,0.06,0.0524,5000.0,5000.0,Debt,Low
nippon india mutual fund,0,0,0.004699999999999999,32.83,0.0664,0.0599,5000.0,5000.0,Debt,Low
nippon india mutual fund,4,0,0.0052,5369.18,0.0672,0.0533,5000.0,5000.0,Debt,Moderate
nippon india mutual fund,0,0,0.005600000000000001,34.21,0.0733,0.061500000000000006,5000.0,5000.0,Debt,Moderate
uti mutual fund,2,2,0.061200000000000004,324.15,0.4191,0.203,500.0,500.0,Equity,High
uti mutual fund,2,2,0.0748,26.92,0.40850000000000003,0.23199999999999998,500.0,500.0,Equity,VeryHigh
uti mutual fund,0,0,0.0689,13.18,0.0,0.0,500.0,500.0,Equity,VeryHigh
mirae asset mutual fund,3,3,0.0623,37.47,0.4175,0.22219999999999998,500.0,500.0,Equity,High
mirae asset mutual fund,0,0,0.054000000000000006,14.31,0.37,0.0,500.0,500.0,Equity,VeryHigh
mirae asset mutual fund,4,4,0.07440000000000001,101.32,0.4399,0.2278,500.0,500.0,Equity,High
taurus mutual fund,0,2,0.0381,240.02,0.3602,0.1729,500.0,500.0,Equity,Moderate
taurus mutual fund,1,2,0.029900000000000003,161.48,0.3644,0.1612,500.0,500.0,Equity,Moderate
taurus mutual fund,0,2,0.029900000000000003,161.48,0.3644,0.1612,500.0,500.0,Equity,Moderate
hsbc mutual fund,3,2,0.0688,25.64,0.3743,0.1566,500.0,500.0,Equity,VeryHigh
hsbc mutual fund,3,3,0.053399999999999996,492.11,0.3429,0.1565,500.0,500.0,Equity,VeryHigh
motilal oswal mutual fund,0,1,0.0726,14.31,0.1524,0.09939999999999999,500.0,500.0,Hybrid,VeryHigh
motilal oswal mutual fund,0,0,0.0513,11.86,0.0,0.0,500.0,500.0,Other,VeryHigh
motilal oswal mutual fund,0,0,0.0,11.66,0.0,0.0,500.0,500.0,Other,VeryHigh
bandhan mutual fund,2,3,0.0556,156.4,0.39039999999999997,0.23260000000000003,100.0,100.0,Equity,High
bandhan mutual fund,4,4,0.0667,138.17,0.5587,0.2666,100.0,100.0,Equity,ModeratelyHigh
bandhan mutual fund,3,3,0.10279999999999999,48.18,0.7593000000000001,0.2898,100.0,100.0,Equity,VeryHigh
bandhan mutual fund,0,3,0.0663,213.11,0.3679,0.16690000000000002,100.0,100.0,Equity,Moderate
bandhan mutual fund,3,2,0.058899999999999994,25.21,0.297,0.1398,100.0,100.0,Hybrid,VeryHigh
taurus mutual fund,2,0,0.0508,140.55,0.4104,0.17739999999999997,500.0,500.0,Equity,High
icici prudential mutual fund,0,0,0.0069,11.54,0.084,0.0,500.0,500.0,Other,LowtoModerate
icici prudential mutual fund,0,0,0.0062,11.31,0.0797,0.0,500.0,500.0,Other,LowtoModerate
icici prudential mutual fund,0,0,0.0069,11.6,0.08070000000000001,0.0,500.0,500.0,Other,LowtoModerate
icici prudential mutual fund,0,0,0.009000000000000001,11.74,0.09140000000000001,0.0,500.0,500.0,Other,Moderate
icici prudential mutual fund,0,0,0.0079,11.7,0.087,0.0,500.0,500.0,Other,Moderate
hdfc mutual fund,4,2,0.0054,54.4,0.0709,0.0572,100.0,100.0,Debt,LowtoModerate
hdfc mutual fund,4,4,0.008100000000000001,30.48,0.0808,0.0583,100.0,100.0,Debt,Moderate
axis mutual fund,3,4,0.0762,108.36,0.396,0.2275,100.0,100.0,Equity,VeryHigh
axis mutual fund,0,0,0.0746,18.15,0.5304,0.0,100.0,100.0,Equity,VeryHigh
uti mutual fund,4,0,0.005600000000000001,6706.89,0.0706,0.0575,10000.0,10000.0,Debt,Moderate
uti mutual fund,4,0,0.0067,5903.26,0.0699,0.0717,10000.0,10000.0,Debt,LowtoModerate
uti mutual fund,4,5,0.0060999999999999995,2900.52,0.0759,0.06269999999999999,500.0,500.0,Debt,Moderate
uti mutual fund,0,0,0.0118,11.81,0.09140000000000001,0.0,500.0,500.0,Debt,Moderate
uti mutual fund,5,5,0.006999999999999999,3335.79,0.0747,0.0765,500.0,500.0,Debt,LowtoModerate
uti mutual fund,0,0,0.0302,12.19,0.19329999999999997,0.0,500.0,500.0,Hybrid,ModeratelyHigh
uti mutual fund,4,4,0.0077,15.34,0.0776,0.0554,500.0,500.0,Debt,Moderate
uti mutual fund,5,1,0.0062,20.55,0.0747,0.07719999999999999,500.0,500.0,Debt,Moderate
kotak mahindra mutual fund,3,3,0.048799999999999996,25.59,0.3657,0.16519999999999999,100.0,100.0,Equity,ModeratelyHigh
kotak mahindra mutual fund,0,0,0.08929999999999999,10.37,0.1535,0.0069,100.0,100.0,Other,VeryHigh
kotak mahindra mutual fund,0,0,0.0557,10.04,0.2302,0.0021,100.0,100.0,Other,VeryHigh
kotak mahindra mutual fund,2,0,0.0155,22.5,0.12380000000000001,0.0074,100.0,100.0,Other,VeryHigh
hdfc mutual fund,0,0,0.024399999999999998,11.82,0.0,0.0,100.0,100.0,Other,VeryHigh
hdfc mutual fund,0,0,0.0528,15.96,0.355,0.0,100.0,100.0,Other,VeryHigh
hdfc mutual fund,0,0,0.0542,18.73,0.46340000000000003,0.0,100.0,100.0,Other,VeryHigh
hdfc mutual fund,0,0,0.0781,20.0,0.5171,0.0,100.0,100.0,Other,VeryHigh
hdfc mutual fund,0,0,0.0691,10.84,0.0,0.0,100.0,100.0,Other,VeryHigh
hdfc mutual fund,0,0,0.0,10.22,0.0,0.0,100.0,100.0,Other,VeryHigh
hdfc mutual fund,0,0,0.0335,12.2,0.0,0.0,100.0,100.0,Other,VeryHigh
axis mutual fund,0,0,0.0473,17.49,0.3837,0.17059999999999997,100.0,100.0,Equity,ModeratelyHigh
axis mutual fund,0,0,0.0415,10.59,0.0,0.0,100.0,100.0,Other,VeryHigh
axis mutual fund,0,0,0.059000000000000004,18.92,0.3901,0.1311,100.0,100.0,Equity,VeryHigh
axis mutual fund,0,3,0.05,22.4,0.3239,0.14529999999999998,100.0,100.0,Other,VeryHigh
axis mutual fund,0,0,0.0582,16.9,0.38520000000000004,0.0,100.0,100.0,Equity,VeryHigh
axis mutual fund,0,0,0.049699999999999994,11.39,0.0,0.0,100.0,100.0,Other,VeryHigh
